CGATS.17

ORIGINATOR	"i1Profiler"
DESCRIPTOR	"RGB measurement"
CREATED	"January 06, 2026"
INSTRUMENTATION	"i1iSis"
MEASUREMENT_SOURCE	"Reflective"

NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z
END_DATA_FORMAT

NUMBER_OF_SETS	216
BEGIN_DATA
1	0.0	0.0	0.0	0.9543	1.0108	1.1076
2	0.0	0.0	51.0	1.5387	1.2297	4.2489
3	0.0	0.0	102.0	3.3400	1.9595	13.6034
4	0.0	0.0	153.0	6.6600	3.2762	31.1536
5	0.0	0.0	204.0	11.5968	5.2371	57.9273
6	0.0	0.0	255.0	18.7265	8.1323	95.2178
7	0.0	51.0	0.0	2.0976	3.3173	1.4596
8	0.0	51.0	51.0	2.6912	3.5559	4.5545
9	0.0	51.0	102.0	4.5200	4.3103	14.0296
10	0.0	51.0	153.0	7.7990	5.5969	31.2683
11	0.0	51.0	204.0	12.9069	7.6814	58.2703
12	0.0	51.0	255.0	19.9927	10.4990	95.9520
13	0.0	102.0	0.0	5.6397	10.3883	2.6307
14	0.0	102.0	51.0	6.2490	10.6872	5.7319
15	0.0	102.0	102.0	8.0225	11.3407	15.2777
16	0.0	102.0	153.0	11.3091	12.6711	32.6699
17	0.0	102.0	204.0	16.4476	14.7019	59.5584
18	0.0	102.0	255.0	23.4473	17.5079	96.9655
19	0.0	153.0	0.0	12.2222	23.4866	4.8352
20	0.0	153.0	51.0	12.9035	23.8784	7.9267
21	0.0	153.0	102.0	14.5782	24.4600	17.2688
22	0.0	153.0	153.0	17.9743	25.8990	34.7857
23	0.0	153.0	204.0	23.0400	27.8017	61.7710
24	0.0	153.0	255.0	29.9397	30.5549	99.0120
25	0.0	204.0	0.0	22.4928	44.0122	8.4502
26	0.0	204.0	51.0	22.8944	43.9933	11.2518
27	0.0	204.0	102.0	24.7850	44.6848	20.6420
28	0.0	204.0	153.0	27.9665	45.9456	38.1306
29	0.0	204.0	204.0	33.1093	48.1721	65.3094
30	0.0	204.0	255.0	40.2569	50.9192	102.6116
31	0.0	255.0	0.0	36.3615	71.8441	13.0184
32	0.0	255.0	51.0	37.1238	72.1517	16.0014
33	0.0	255.0	102.0	38.5936	72.5523	25.0993
34	0.0	255.0	153.0	42.1711	74.1862	42.6327
35	0.0	255.0	204.0	47.1533	76.2955	69.9933
36	0.0	255.0	255.0	54.3286	78.9310	106.5303
37	51.0	0.0	0.0	2.3135	1.7115	1.1563
38	51.0	0.0	51.0	2.8870	1.9278	4.3022
39	51.0	0.0	102.0	4.7078	2.6719	13.8345
40	51.0	0.0	153.0	8.0939	4.0048	31.6509
41	51.0	0.0	204.0	13.1297	6.0436	58.3889
42	51.0	0.0	255.0	20.1471	8.8536	95.0761
43	51.0	51.0	0.0	3.4666	4.0306	1.5822
44	51.0	51.0	51.0	4.0620	4.2537	4.5841
45	51.0	51.0	102.0	5.8497	4.9693	13.9864
46	51.0	51.0	153.0	9.1636	6.3138	31.3761
47	51.0	51.0	204.0	14.3180	8.4190	58.8065
48	51.0	51.0	255.0	21.4010	11.1979	95.8687
49	51.0	102.0	0.0	7.0643	11.1577	2.7443
50	51.0	102.0	51.0	7.5937	11.2956	5.7585
51	51.0	102.0	102.0	9.3541	12.0391	15.1500
52	51.0	102.0	153.0	12.6604	13.3209	32.5207
53	51.0	102.0	204.0	17.7897	15.4834	59.6972
54	51.0	102.0	255.0	25.0176	18.3282	96.5660
55	51.0	153.0	0.0	13.5755	24.2255	4.8292
